id,name,category,district,address,has_address,business_status,lat,lng,opening_hours,hours_source,link_by_name,link_by_coord,osm_link,coord_dung,hours_dung,ghi_chu
node/4976315121,Nhà Hàng Bồ Đề Tâm,food,,34 Phạm Huy Thông,Y,,21.028106,105.8101165,Mo-Su 10:00-22:00,osm,https://www.google.com/maps/search/?api=1&query=34%20Ph%E1%BA%A1m%20Huy%20Th%C3%B4ng%2C%20H%C3%A0%20N%E1%BB%99i,"https://www.google.com/maps/search/?api=1&query=21.028106,105.8101165",https://www.openstreetmap.org/node/4976315121,N,N,không thấy quán này đâu cả 
node/4090297904,Pizza Hut,food,Hai Bà Trưng,191 Phố Bà Triệu,Y,,21.011391,105.8492805,10:00-22:00,osm,https://www.google.com/maps/search/?api=1&query=191%20Ph%E1%BB%91%20B%C3%A0%20Tri%E1%BB%87u%2C%20Hai%20B%C3%A0%20Tr%C6%B0ng%2C%20H%C3%A0%20N%E1%BB%99i,"https://www.google.com/maps/search/?api=1&query=21.011391,105.8492805",https://www.openstreetmap.org/node/4090297904,Y,Y,
node/5116302421,Phở Gia Truyền,food,Phường Hoàn Kiếm,49 Bát Đàn,Y,,21.0336377,105.8463792,Mo-Su 18:00-22:00,osm,https://www.google.com/maps/search/?api=1&query=49%20B%C3%A1t%20%C4%90%C3%A0n%2C%20Ph%C6%B0%E1%BB%9Dng%20Ho%C3%A0n%20Ki%E1%BA%BFm%2C%20H%C3%A0%20N%E1%BB%99i,"https://www.google.com/maps/search/?api=1&query=21.0336377,105.8463792",https://www.openstreetmap.org/node/5116302421,Y,Y,
node/6324812247,Nhà Hàng King BBQ,food,Hoàn Kiếm,20 Hai Bà Trưng,Y,,21.024043,105.8539531,Mo-Su 10:00-22:00,osm,https://www.google.com/maps/search/?api=1&query=20%20Hai%20B%C3%A0%20Tr%C6%B0ng%2C%20Ho%C3%A0n%20Ki%E1%BA%BFm%2C%20H%C3%A0%20N%E1%BB%99i,"https://www.google.com/maps/search/?api=1&query=21.024043,105.8539531",https://www.openstreetmap.org/node/6324812247,N,N,không thấy quán này đâu cả 
way/37629143,Bảo tàng Hồ Chí Minh,attraction,Phường Ba Đình,19 Phố Ngọc Hà,Y,,21.0356178,105.8326247,Tu-Th 08:00-11:30; Sa-Su 14:00-16:30,osm,https://www.google.com/maps/search/?api=1&query=19%20Ph%E1%BB%91%20Ng%E1%BB%8Dc%20H%C3%A0%2C%20Ph%C6%B0%E1%BB%9Dng%20Ba%20%C4%90%C3%ACnh%2C%20H%C3%A0%20N%E1%BB%99i,"https://www.google.com/maps/search/?api=1&query=21.0356178,105.8326247",https://www.openstreetmap.org/way/37629143,Y,Y,
way/1235566715,Takumi,food,Hai Bà Trưng,98 Phố Mai Hắc Đế,Y,,21.0126094,105.8508227,"Mo-Su 10:30-14:00, 17:00-22:30",osm,https://www.google.com/maps/search/?api=1&query=98%20Ph%E1%BB%91%20Mai%20H%E1%BA%AFc%20%C4%90%E1%BA%BF%2C%20Hai%20B%C3%A0%20Tr%C6%B0ng%2C%20H%C3%A0%20N%E1%BB%99i,"https://www.google.com/maps/search/?api=1&query=21.0126094,105.8508227",https://www.openstreetmap.org/way/1235566715,Y,Y,
node/8938779418,The Coffee House,cafe,,T1 Times City Đường Số 5,Y,,20.9965583,105.8698599,Mo-Su 08:30-22:30,osm,https://www.google.com/maps/search/?api=1&query=T1%20Times%20City%20%C4%90%C6%B0%E1%BB%9Dng%20S%E1%BB%91%205%2C%20H%C3%A0%20N%E1%BB%99i,"https://www.google.com/maps/search/?api=1&query=20.9965583,105.8698599",https://www.openstreetmap.org/node/8938779418,Y,N,8h30
node/10254828329,Quán bún Bắc Bằng,food,,Ngách 2 Ngõ 32 Phố Viên,Y,,21.0727417,105.7728348,Mo-Su 07:00-24:00,osm,https://www.google.com/maps/search/?api=1&query=Ng%C3%A1ch%202%20Ng%C3%B5%2032%20Ph%E1%BB%91%20Vi%C3%AAn%2C%20H%C3%A0%20N%E1%BB%99i,"https://www.google.com/maps/search/?api=1&query=21.0727417,105.7728348",https://www.openstreetmap.org/node/10254828329,N,N,không thấy quán này đâu cả 
node/5485781399,Quán bánh xèo Thanh Nga,food,Bắc Từ Liêm,số 18 Lê Văn Hiến,Y,,21.0760243,105.7735397,Mo-Sa 08:00-18:00,osm,https://www.google.com/maps/search/?api=1&query=s%C3%B4%CC%81%2018%20L%C3%AA%20V%C4%83n%20Hi%E1%BA%BFn%2C%20B%E1%BA%AFc%20T%E1%BB%AB%20Li%C3%AAm%2C%20H%C3%A0%20N%E1%BB%99i,"https://www.google.com/maps/search/?api=1&query=21.0760243,105.7735397",https://www.openstreetmap.org/node/5485781399,Y,N,10-22:30
node/8631526113,Cháo Lòng Phố Cổ,food,Phường Hoàn Kiếm,26 Phố Hàng Buồm,Y,,21.0360382,105.8520965,Mo-Su 11:00-14:00,osm,https://www.google.com/maps/search/?api=1&query=26%20Ph%E1%BB%91%20H%C3%A0ng%20Bu%E1%BB%93m%2C%20Ph%C6%B0%E1%BB%9Dng%20Ho%C3%A0n%20Ki%E1%BA%BFm%2C%20H%C3%A0%20N%E1%BB%99i,"https://www.google.com/maps/search/?api=1&query=21.0360382,105.8520965",https://www.openstreetmap.org/node/8631526113,N,N,không thấy quán này đâu cả 
node/12862421502,An Lạc Chay Quán,food,,39 Ngõ 45 Đường Tô Ngọc Vân,Y,,21.0673912,105.8231246,"Su-Fr 07:00-20:00, Sa 07:00-18:00",osm,https://www.google.com/maps/search/?api=1&query=39%20Ng%C3%B5%2045%20%C4%90%C6%B0%E1%BB%9Dng%20T%C3%B4%20Ng%E1%BB%8Dc%20V%C3%A2n%2C%20H%C3%A0%20N%E1%BB%99i,"https://www.google.com/maps/search/?api=1&query=21.0673912,105.8231246",https://www.openstreetmap.org/node/12862421502,Y,Y,
node/5485740783,Nhà hàng Samwon,food,Cầu Giấy,68 Dương Đình Nghệ,Y,,21.0223566,105.7883168,Mo-Su 08:00-22:00,osm,https://www.google.com/maps/search/?api=1&query=68%20D%C6%B0%C6%A1ng%20%C4%90%C3%ACnh%20Ngh%E1%BB%87%2C%20C%E1%BA%A7u%20Gi%E1%BA%A5y%2C%20H%C3%A0%20N%E1%BB%99i,"https://www.google.com/maps/search/?api=1&query=21.0223566,105.7883168",https://www.openstreetmap.org/node/5485740783,N,N,không thấy quán này đâu cả 
node/10255708084,Trà Sữa Queen Tea 83,cafe,,"89 Đ. Sông Nhuệ, Đông Ngạc, Bắc Từ Liêm, Hà Nội, Việt Nam",Y,,21.0711058,105.7770557,Mo-Su 08:00-23:00,osm,https://www.google.com/maps/search/?api=1&query=89%20%C4%90.%20S%C3%B4ng%20Nhu%E1%BB%87%2C%20%C4%90%C3%B4ng%20Ng%E1%BA%A1c%2C%20B%E1%BA%AFc%20T%E1%BB%AB%20Li%C3%AAm%2C%20H%C3%A0%20N%E1%BB%99i%2C%20Vi%E1%BB%87t%20Nam%2C%20H%C3%A0%20N%E1%BB%99i,"https://www.google.com/maps/search/?api=1&query=21.0711058,105.7770557",https://www.openstreetmap.org/node/10255708084,N,N,Sai tọa độ
